Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.1,3.01.1,3.01,,0.35060537830019645,0.36693516269956916
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.10,3.01.1,3.01,,0.37970743150922825,0.16019960265824168
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.11,3.01.1,3.01,,0.3795184659334393,0.15812203214791865
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.12,3.01.1,3.01,,0.260559401110523,0.20304883187047243
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.13,3.01.1,3.01,,0.419024309353957,0.3988821239982428
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.14,3.01.1,3.01,,0.40538267560157193,0.17320441079531748
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.15,3.01.1,3.01,,0.7073116029031007,0.2178868379685975
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.16,3.01.1,3.01,,0.49238005198278845,0.1890590441300995
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.17,3.01.1,3.01,,0.2577590651379665,0.10617168173817586
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.18,3.01.1,3.01,,0.6301788131111852,0.2886116375329819
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.19,3.01.1,3.01,,0.36242560184791317,0.1619392629113199
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.2,3.01.1,3.01,,0.618622438927232,0.17933521210775233
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.20,3.01.1,3.01,,0.7568338951245032,0.5748280486461885
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.21,3.01.1,3.01,,0.615032525354623,0.31884032265364365
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.22,3.01.1,3.01,,0.23955343884554595,0.18772159234930544
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.23,3.01.1,3.01,,0.433461890264236,0.28391928980600245
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.24,3.01.1,3.01,,0.38239000280125307,0.19491454975661873
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.25,3.01.1,3.01,,0.7056046202491371,0.31915027600505125
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.26,3.01.1,3.01,,0.35484168310742686,0.17305292214513318
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.27,3.01.1,3.01,,0.35443602231023685,0.23383153989160196
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.28,3.01.1,3.01,,0.46795204451878075,0.23543573954396946
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.29,3.01.1,3.01,,0.5002591400215988,0.179623234631589
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.3,3.01.1,3.01,,0.5593162556210217,0.2114074462182255
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.30,3.01.1,3.01,,0.7300509643919071,0.38285675091874966
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.4,3.01.1,3.01,,0.4483404691287044,0.1344311049035046
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.5,3.01.1,3.01,,0.7447952483773348,0.19832560627867618
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.6,3.01.1,3.01,,0.662512924300623,0.2843438978572647
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.7,3.01.1,3.01,,0.38827540679337647,0.150978508827452
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.8,3.01.1,3.01,,0.26374188171385715,0.2511963488459612
Iris germanica 'Kharput',Iris,Asparagales,,monocots,3.01.1.9,3.01.1,3.01,,0.32121502090376364,0.19344571767294236
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.1,3.02.1,3.02,abaxial,0.31478535085489034,0.0438896380919784
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.10,3.02.1,3.02,abaxial,0.12708711915710413,0.059391292923917226
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.11,3.02.1,3.02,abaxial,0.16001590960443873,0.04087142110759049
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.12,3.02.1,3.02,abaxial,0.19555247782699525,0.03710606366099608
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.13,3.02.1,3.02,abaxial,0.32948310581222107,0.06503953815321699
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.14,3.02.1,3.02,abaxial,0.09713920839163862,0.04274625681713438
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.15,3.02.1,3.02,abaxial,0.0855374771731669,0.04199207175011569
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.16,3.02.1,3.02,abaxial,0.31508741732666,0.06293649967418254
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.17,3.02.1,3.02,abaxial,0.31006055280030326,0.06235391590145156
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.18,3.02.1,3.02,abaxial,0.22162880242943764,0.042106433642816264
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.19,3.02.1,3.02,abaxial,0.19787322747280076,0.04338540848184542
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.2,3.02.1,3.02,abaxial,0.18790108134211003,0.053146098678279206
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.20,3.02.1,3.02,abaxial,0.2560679651395911,0.05782691416574907
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.21,3.02.1,3.02,abaxial,0.19013698335733836,0.04416218984441659
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.22,3.02.1,3.02,abaxial,0.202643659609629,0.04642130371193184
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.23,3.02.1,3.02,abaxial,0.15668376928759106,0.046486259027062875
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.24,3.02.1,3.02,abaxial,0.30096046842205354,0.045702541227527
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.25,3.02.1,3.02,abaxial,0.19537575854622238,0.06976529486916568
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.26,3.02.1,3.02,abaxial,0.21048686998172056,0.05551183473857986
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.27,3.02.1,3.02,abaxial,0.3321324569032187,0.15180002749153074
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.28,3.02.1,3.02,abaxial,0.23192046596294183,0.061553764032097516
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.29,3.02.1,3.02,abaxial,0.38927660331827013,0.11321339831327107
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.3,3.02.1,3.02,abaxial,0.3084907310292311,0.06421893636929343
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.30,3.02.1,3.02,abaxial,0.4428334857210112,0.1337113339783764
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.4,3.02.1,3.02,abaxial,0.17625696381812367,0.055600930172150335
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.5,3.02.1,3.02,abaxial,0.25897384836052895,0.053913230253911086
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.6,3.02.1,3.02,abaxial,0.36983027946585567,0.056800832575786275
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.7,3.02.1,3.02,abaxial,0.46361286303288757,0.07355850217156566
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.8,3.02.1,3.02,abaxial,0.3929228072807076,0.06339172965218097
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.9,3.02.1,3.02,abaxial,0.20703465758981054,0.04668511456384489
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.1,3.02.2,3.02,adaxial,0.5920057783336936,0.25628534087058136
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.10,3.02.2,3.02,adaxial,0.31221339561440237,0.1977793327908684
